Categoría,Subcategoría,Enlace
Categoría 29,"Pañales, toallitas y fórmulas",https://www.amazon.com.mx/gp/browse.html?node=9845549011&ref_=nav_em__baby_child_care_0_2_24_3
Categoría 29,Vitaminas y Suplementos,https://www.amazon.com.mx/gp/browse.html?node=9845682011&ref_=nav_em__vitamins_supplements_0_2_24_4
Categoría 29,Farmacia,https://www.amazon.com.mx/gp/browse.html?node=9845666011&ref_=nav_em__drugstore_0_2_24_5
Categoría 29,Equipo y Suministros Médicos,https://www.amazon.com.mx/gp/browse.html?node=9846045011&ref_=nav_em__med_supplies_equipment_0_2_24_6
Categoría 29,Salud Sexual,https://www.amazon.com.mx/gp/browse.html?node=9845954011&ref_=nav_em__sexual_wellness_0_2_24_7
Categoría 29,Cuidado Femenino,https://www.amazon.com.mx/gp/browse.html?node=16610217011&ref_=nav_em__feminine_care_0_2_24_8
Categoría 29,Hogar y Limpieza,https://www.amazon.com.mx/gp/browse.html?node=11525771011&ref_=nav_em__household_supplies_0_2_24_9
Categoría 29,Todo en Salud y Cuidado Personal,https://www.amazon.com.mx/gp/browse.html?node=9482610011&ref_=nav_em__all_personal_care_0_2_24_10
Categoría 29,Maquillaje,https://www.amazon.com.mx/gp/browse.html?node=10178470011&ref_=nav_em__makeup_0_2_24_12
Categoría 29,Cuidado de la piel,https://www.amazon.com.mx/gp/browse.html?node=10178562011&ref_=nav_em__skin_care_0_2_24_13
Categoría 29,Cuidado del cabello,https://www.amazon.com.mx/gp/browse.html?node=10178456011&ref_=nav_em__hair_care_0_2_24_14
Categoría 29,Fragancias,https://www.amazon.com.mx/gp/browse.html?node=10178384011&ref_=nav_em__fragance_0_2_24_15
Categoría 29,Cuidado de Uñas,https://www.amazon.com.mx/gp/browse.html?node=10178508011&ref_=nav_em__nail_care_0_2_24_16
Categoría 29,Brochas y accesorios,https://www.amazon.com.mx/gp/browse.html?node=10178662011&ref_=nav_em__tools_accessories_0_2_24_17
Categoría 29,Afeitado y depilación,https://www.amazon.com.mx/gp/browse.html?node=9845475011&ref_=nav_em__hair_removal_0_2_24_18
Categoría 29,Baño y Cuerpo,https://www.amazon.com.mx/gp/browse.html?node=10178564011&ref_=nav_em__bath_0_2_24_19
Categoría 29,Todo en belleza,https://www.amazon.com.mx/gp/browse.html?node=11260452011&ref_=nav_em__beauty_all_0_2_24_20
Categoría 30,Medición e Inspección,https://www.amazon.com.mx/gp/browse.html?node=12499362011&ref_=nav_em__test_measurement_0_2_25_2
Categoría 30,Seguridad,https://www.amazon.com.mx/gp/browse.html?node=12499368011&ref_=nav_em__safety_0_2_25_3
Categoría 30,Limpieza y Saneamiento,https://www.amazon.com.mx/gp/browse.html?node=12499387011&ref_=nav_em__janitorial_0_2_25_4
Categoría 30,Herramientas Industriales,https://www.amazon.com.mx/gp/browse.html?node=9828215011&ref_=nav_em__power_handtools_0_2_25_5
Categoría 30,Ferretería Industrial,https://www.amazon.com.mx/gp/browse.html?node=9827751011&ref_=nav_em__hardware_0_2_25_6
Categoría 30,"Todo en Industria, Empresas y Ciencia",https://www.amazon.com.mx/gp/browse.html?node=11076223011&ref_=nav_em__all_industrial_0_2_25_7
